_id,name,description,tags,clauseID
0,Standard ,ConsentAcknowledgment and Consent. The [PARTY C] hereby acknowledges and consents to the foregoing assignment and assumption listed in the [ASSIGNMENT OF ASSETS] and [ASSUMPTION OF LIABILITIES] clauses of this agreement.Release and Discharge. The [PARTY C] hereby releases and discharges the [PARTY B] from its obligations arising under or in connection with the [Loan Agreement].,Neutral,0
1,Abandonment ,"Abandonment. If [PARTY B] does not occupy the Premise for [14] consecutive days [PARTY A] may deem that [PARTY B] abandoned the Premise, unless [PARTY A] gave written consent to that period of non-occupancy.",Neutral,1
2,Abatement of Rent ,"Abatement of Rent. In the event of Premises Partial Damage or Premises Total Destruction for which Tenant is not responsible under this Lease, the Rent payable by Tenant for the period required for the repair, remediation or restoration of such damage shall be abated in proportion to the degree to which Tenant's use of the Premises is impaired, but not to exceed the proceeds received from insurance.",Neutral,2
3,[PARTY A] — Standard ,"Conduct in Ordinary Course and Absence of Certain Changes. Except as listed in [PARTY A]'s Disclosure Schedule, from [MONTH, YEAR] through the Effective Date,except for the negotiation, execution, and delivery of this agreement, [PARTY A], and its Subsidiaries, has conducted [PARTY A]'s business in the ordinary course of business consistent with past practice in all material respects,there has not been any event, development, or state of circumstances that would have, or would reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect on [PARTY A], andexcept as would not have, and would not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect on [PARTY A], [PARTY A] has not, and none of its Subsidiaries have, suffered any loss, damage, destruction, or other casualty affecting any of its properties or assets, whether or not covered by insurance.",Neutral,3
4,[PARTY A] — Concise ,"CompareAbsence of Certain Changes. Except as listed in [PARTY A]'s Disclosure Schedule, since [MONTH, YEAR] [PARTY A] hasoperated its business, in all material respects, in the ordinary course of business consistent with past practice, andnot suffered a Material Adverse Effect.",,3
5,[PARTY B] — Concise ,"CompareAbsence of Certain Changes. Except as listed in [PARTY B]'s Disclosure Schedule, since [MONTH, YEAR], [PARTY B] hasoperated its business, in all material respects, in the ordinary course of business consistent with past practice, andnot suffered a Material Adverse Effect.",Neutral,3
6,[PARTY B] — Standard ,"CompareConduct in Ordinary Course and Absence of Certain Changes. Except as listed in [PARTY B]'s Disclosure Schedule, from [MONTH, YEAR] through the Effective Date,except for the negotiation, execution, and delivery of this agreement, [PARTY B], and its Subsidiaries, has conducted [PARTY B]'s business in the ordinary course of business consistent with past practice in all material respects,there has not been any event, development, or state of circumstances that would have, or would reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect on [PARTY B], andexcept as would not have, and would not reasonably be expected to have, individually or in the aggregate, a Material Adverse Effect on [PARTY B], [PARTY B] has not, and none of its Subsidiaries have, suffered any loss, damage, destruction, or other casualty affecting any of its properties or assets, whether or not covered by insurance.",,3
7,Standard — Limited inspection time; No special rights. ,"AcceptanceAcceptance of Delivery. [PARTY A] will be deemed to have completed its delivery obligations ifin [PARTY B]'s opinion, the [DELIVERABLE] satisfies the Acceptance Criteria, and[PARTY B] notifies [PARTY A] in writing that it is accepting the [DELIVERABLE].Inspection and Notice. [PARTY B] will have [INSPECTION PERIOD] Business Days to inspect and evaluate the [DELIVERABLE] on the delivery date before notifying [PARTY A] that it is either accepting or rejecting the [DELIVERABLE]. Acceptance Criteria. The ""Acceptance Criteria"" are the specifications the [DELIVERABLES] must meet for [PARTY A] to comply with its requirements and obligations under this agreement, detailed in [ATTACHMENT], attached to this agreement.",Neutral,4
8,"Extra inspection time; Heavy rejection rights, including adjustment fees. ","CompareAcceptanceAcceptance of Delivery. [PARTY A] will be deemed to have completed its delivery obligations ifin [PARTY B]'s opinion, the [DELIVERABLE] satisfies the Acceptance Criteria, and[PARTY B] notifies [PARTY A] in writing that it is accepting the [DELIVERABLE].Inspection and Notice. [PARTY B] will have [INSPECTION PERIOD] Business Days to inspect and evaluate the [DELIVERABLE] on the delivery date before notifying [PARTY A] that it is either accepting or rejecting the [DELIVERABLE]. Rejection. If in [PARTY B]'s opinion the [DELIVERABLE] does not satisfy the Acceptance Criteria,[PARTY B] will deliver to [PARTY A] a written list detailing each failure to satisfy the Acceptance Criteria, and[PARTY A] will use reasonable efforts to promptly correct the [DELIVERABLE], and re-deliver the [DELIVERABLE] for [PARTY B] to re-inspect and evaluate the [DELIVERABLE] before accepting or rejecting the re-delivery.Continued Failure. If in [PARTY B]'s opinion, [PARTY A]'s corrections fail to satisfy the Acceptance Criteria [NUMBER OF FAILURES ACCEPTANCE CRITERIA] times, [PARTY B] may eitherterminate this agreement, oradjust the Acceptance Criteria, and require [PARTY A] to pay the Adjustment Fee.Adjustment Fee. ""Adjustment Fee"" means $[ADJUSTMENT FEE].Liquidated Damages Statement. [PARTY A] acknowledges thatthe actual damages likely to result from the late delivery of the [DELIVERABLE], due to [PARTY A]'s failure to comply with the Acceptance Criteria, are difficult to estimate when entering this agreement and would be difficult for [PARTY B] to prove,the parties intend that [PARTY A]'s payment of the Adjustment Fees would serve to compensate [PARTY B] for [PARTY A]'s failure to timely deliver [DELIVERABLE] that complies with the Acceptance Criteria, not to serve as punishment for any such breach by [PARTY A].Acceptance Criteria. The Acceptance Criteria are the specifications the [DELIVERABLE] must meet for [PARTY A] to comply with its requirements and obligations, and detailed in [ATTACHMENT], attached to this agreement.",Heavy Pro-Providee,4
9,Limited inspection time; Normal rejection rights. ,"CompareAcceptanceAcceptance of Delivery. [PARTY A] will be deemed to have completed its delivery obligations ifin [PARTY B]'s opinion, the [DELIVERABLE] satisfies the Acceptance Criteria, and[PARTY B] notifies [PARTY A] in writing that it is accepting the [DELIVERABLE].Inspection and Notice. [PARTY B] will have [INSPECTION PERIOD] Business Days to inspect and evaluate the [DELIVERABLE] on the delivery date before notifying [PARTY A] that it is either accepting or rejecting the [DELIVERABLE]. Rejection. If in [PARTY B]'s opinion the [DELIVERABLE] do not satisfy the Acceptance Criteria[PARTY B] will deliver to [PARTY A] a written list detailing each failure to satisfy the Acceptance Criteria, and[PARTY A] will use reasonable efforts to promptly correct the [DELIVERABLE], and re-deliver the [DELIVERABLE] for [PARTY B] to re-inspect and evaluate the [DELIVERABLES] before accepting or rejecting the re-delivery.Continued Failure. If in [PARTY B]'s opinion, [PARTY A]'s corrections fail to satisfy the Acceptance Criteria [NUMBER OF FAILURES ACCEPTANCE CRITERIA] times, [PARTY B] may eitherterminate this agreement, oradjust the Acceptance Criteria.Acceptance Criteria. The Acceptance Criteria are the specifications the [DELIVERABLE] must meet for [PARTY A] to comply with its requirements and obligations, and detailed in [ATTACHMENT], attached to this agreement.",Slight Pro-Provider,4
