_id,name
0,[PARTY C]'s Consent
1,Abandonment
2,Abatement of Rent
3,Absence of Certain Changes or Events (Representation)
4,Acceptance
5,Acceptance and Rejection
6,Acceptance of Leased Premise or Equipment
7,Acceptance of Terms of Service
8,Access To Data
9,Access to Information (Covenant)
10,Accessibility of Website During Construction
11,Accessing and Correcting Your Information
12,Account
13,Account Security
14,Accounts and Records
15,Accounts Receivable (Representation)
16,Accuracy of Confidential Information (Representation)
17,Accuracy of Information Supplied (Representation)
18,Acknowledgement of Reasonableness
19,Acknowledgement of Securities Laws (Representation)
20,Acknowledgements
21,Acknowledgment of Contract Terms
22,Actions Requiring Approval
23,Actions Upon Approval
24,Additional Offices
25,Additional Parties
26,Additional Services
27,Adjourned Meetings
28,Adjournment
29,Adjustment of Purchase Price
30,Adjustments on Changes In Capitalization
31,Administration
32,Administration of Plan
33,Advancement of Expenses
34,Advertising Fee
35,Advice of Counsel
36,Advising Service Fees
37,Advisory Rights
38,After Acquired Property
39,Aggregation of Stock
40,Agreement to Vote
41,Allocation of Purchase Price
42,"Alterations, Additions, and Improvements to Premise or Equipment"
43,Alternative Proposals
44,Amendment
45,Amendment and Termination
46,Amendment to Underlying Agreement
47,Annual Meetings
48,Annual Physical Examination
49,Annual Report
50,Antitrust Filings (Covenant)
51,Appointment
52,Appraisal Rights
53,Appraisals
54,Approval of Signs
55,Arbitration
56,Arbitration Procedure
57,Assignee's Representations
58,Assignment
59,Assignment and Subletting of Lease
60,ASSIGNMENT AND SUCCESSORS
61,Assignment of Assets or Loans
62,Assignment of Deliverables
63,Assignment of Inventions
64,Assignment of Registration Rights
65,Assistance in Litigation
66,Assistant Officers
67,Assistant Secretary
68,Assumed Liabilities
69,Assumption of Liabilities
70,Attendance Rights
71,Attorney Fees
72,At-Will Employment
73,Audits for Securities Purposes
74,Authority and Enforceability (Representation)
75,Authority to Indemnify
76,Authorization for Priority
77,Authorization of Commissioner
78,Automobile Benefits
79,Availability of Products
80,Award
81,Award of Shares
82,Award of Subcontract
83,Background Checks
84,Back-Up Data
85,Bank Accounts (Representations)
86,Bankruptcy
87,"Bankruptcy, etc."
88,Bar Service
89,Bargain
90,Base Salary
91,Benefits Upon Termination For Any Reason
92,Best Efforts
93,Bid Delivery title
94,Binding Effect
95,Board Approvals
96,Board of Directors
97,Board Rights
98,Bonds
99,Bonds and Debentures
100,Bonus
101,Books and Records (Covenant)
102,Books and Records (Representation)
103,Bring-Down Representation
104,Budget
105,Bulk Sales Laws
106,Business At Meetings
107,Business Continuity and Disaster Recovery Plans
108,Business Transition Cooperation
109,Bylaws
110,California Do Not Track Disclosures
111,California Privacy Rights
112,Call-up Procedures
113,Capital and Capital Accounts
114,Capital Contributions
115,Capital Stock
116,Capital Stock
117,Capitalization (Representation)
118,Capitalized Terms
119,Casualty and Eminent Domain
120,Cause
121,Certain Obligations of the Parties
122,Certain Payments
123,Certain Prohibited Payments
124,Certain Settlement Provisions
125,Certificate of Incorporation and Bylaws Representation
126,Chairman of the Board
127,Change in Control
128,Change in Control Compensation
129,Change to Event
130,Changes to Policy
131,Changes to Products
132,Changes to Services
133,Changes to Terms of Use
134,Changing Beneficiary
135,"Checks, Drafts, etc."
136,Chief Executive Officer
137,Chief Financial Officer
138,"Claims, Inquiries and Appeals"
139,Clawback
140,Closing
141,Closing Conditions
142,Closing Date
143,Closing Deliverables
144,Closing Of Transfer Books
145,Closing Procedure
146,Code of Business Conduct and Ethics
147,Commission Compensation
148,Committees
149,Common Areas
150,Communications Between the Parties (Covenant)
151,Company Allocations
152,Company Car
153,Company Distributions
154,Company Indemnity
155,Company Shareholder Approval Meeting (Covenant)
156,Compensation of Agent
157,Compensation of Proxy
158,"Compensation on Termination for Death, Cause, or Notice"
159,Compliance Enforcement Authority
160,Compliance with Export Laws (Covenant)
161,Compliance with Laws (Covenant)
162,Compliance with Laws (Representation)
163,Compliance with Policies
164,Condemnation
165,Condition of Premises
166,Conditions on Certain Payments
167,Conditions on Severance
